















































Mar 23, 2022 137.60 138.35 137.55 138.10 138.10 10,269,938
Mar 22, 2022 136.80 137.00 136.30 136.80 136.80 6,046,072
Mar 21, 2022 136.80 137.65 136.80 137.00 137.00 7,718,397
Mar 18, 2022 136.60 136.60 135.50 136.10 136.10 12,645,344
Mar 17, 2022 135.45 136.50 135.20 136.40 136.40 14,001,548
Mar 16, 2022 133.20 133.25 131.10 132.20 132.20 18,988,520
Mar 15, 2022 133.15 133.15 131.40 131.65 131.65 23,530,678
Mar 14, 2022 135.00 135.35 134.00 134.40 134.40 8,586,652
Mar 11, 2022 135.85 135.85 134.20 134.40 134.40 10,604,845
Mar 10, 2022 135.20 136.55 135.20 136.35 136.35 14,436,523
Mar 09, 2022 132.20 133.25 132.20 132.50 132.50 20,881,585
Mar 08, 2022 132.45 133.15 131.00 131.15 131.15 41,820,858
Mar 07, 2022 136.90 136.90 133.75 134.00 134.00 52,044,419
Mar 04, 2022 138.50 138.85 137.95 138.45 138.45 12,599,177
Mar 03, 2022 140.50 140.80 139.85 139.95 139.95 4,438,868
Mar 02, 2022 140.00 140.10 139.20 139.65 139.65 6,131,154
Mar 01, 2022 139.05 140.80 138.85 140.45 140.45 8,239,515
Feb 25, 2022 139.05 139.20 137.85 138.50 138.50 22,577,270
Feb 24, 2022 141.10 141.10 138.30 138.80 138.80 29,453,452
Feb 23, 2022 141.85 142.40 141.65 142.25 142.25 4,408,857
Feb 22, 2022 142.60 142.65 140.75 141.85 141.85 18,718,149
Feb 21, 2022 143.45 143.85 142.80 143.80 143.80 4,502,939
Feb 18, 2022 143.50 144.15 143.05 144.10 144.10 3,867,211
Feb 17, 2022 144.40 145.00 144.00 144.50 144.50 4,940,804
Feb 16, 2022 143.90 144.45 143.80 144.40 144.40 6,700,043
Feb 15, 2022 142.70 143.20 141.95 142.05 142.05 7,361,227
Feb 14, 2022 143.95 143.95 142.20 142.70 142.70 11,864,040
Feb 11, 2022 144.70 145.05 144.05 144.95 144.95 4,314,921
Feb 10, 2022 143.90 145.05 143.50 145.05 145.05 6,004,217
Feb 09, 2022 143.50 143.50 142.65 143.40 143.40 8,060,900
Feb 08, 2022 143.30 143.50 142.80 142.90 142.90 11,085,092
Feb 07, 2022 142.60 142.80 141.20 142.30 142.30 24,022,580
Jan 26, 2022 141.15 142.20 141.05 141.55 141.55 17,750,822
Jan 25, 2022 142.55 142.55 141.25 141.65 141.65 24,021,948
Jan 24, 2022 142.10 144.00 141.70 144.00 144.00 13,160,487
Jan 21, 2022 143.90 143.95 142.30 142.65 142.65 29,877,595
Jan 20, 2022 148.50 149.20 147.60 149.10 149.10 16,263,347
Jan 19, 2022 149.00 149.65 148.25 148.50 148.50 14,664,287
Jan 18, 2022 152.20 152.25 150.15 150.30 150.30 14,415,115
Jan 17, 2022 151.10 152.40 151.10 152.00 152.00 6,927,798
Jan 14, 2022 150.80 151.20 149.05 150.30 150.30 10,111,529
Jan 13, 2022 149.55 150.45 149.55 150.30 150.30 7,453,096
Jan 12, 2022 149.35 149.60 148.70 149.55 149.55 10,154,802
Jan 11, 2022 147.60 148.50 146.70 148.30 148.30 17,755,402
Jan 10, 2022 146.00 147.80 145.40 147.55 147.55 15,701,971
Jan 07, 2022 148.30 149.00 146.50 146.60 146.60 6,989,124
Jan 06, 2022 148.30 148.75 147.00 147.90 147.90 8,621,233
Jan 05, 2022 150.10 150.55 149.10 149.30 149.30 11,406,601
Jan 04, 2022 147.70 149.60 147.70 149.60 149.60 9,634,440
Jan 03, 2022 146.00 147.35 146.00 146.40 146.40 6,784,202
Dec 30, 2021 145.95 146.00 145.35 145.50 145.50 6,246,428
Dec 29, 2021 145.45 146.15 145.05 145.95 145.95 22,522,224
*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.

